,0
0,0.553918784064
1,0.498648648649
2,0.618641503424
3,0.741179621369
4,0.706294377279
5,0.497507788162
6,0.5
7,0.593504242996
8,0.566168873861
9,0.817702020202
10,0.599453083675
11,0.661939454665
12,0.779342629084
13,0.624267399267
14,0.544621055597
15,0.499623493976
16,0.667639487886
17,0.493119266055
18,0.644141486823
19,0.917298561406
20,0.555203862661
21,0.5
22,0.716171243764
23,0.540041971297
24,0.835583395662
25,0.660792975597
26,0.531750129066
27,0.498753117207
28,0.560648212547
29,0.5
30,0.688234576082
31,0.697931280769
32,0.53109875399
33,0.541549383485
34,0.844782608696
35,0.532721468476
36,0.512141467129
37,0.672404161825
38,0.747291724909
39,0.612780430147
40,0.670083273568
41,0.625375375375
42,0.578797043011
43,0.602372034956
44,0.696226759731
45,0.572736153585
46,0.742737346511
47,0.593707666059
48,0.598612960277
49,0.517244147587
50,0.601034280831
51,0.499052132701
52,0.657117882118
53,0.657488646246
54,0.555543256885
55,0.538184880548
56,0.647581792319
57,0.5
58,0.62960133116
59,0.621990972919
60,0.604307909605
61,0.729998702619
62,0.731587237168
63,0.0
64,0.619049691694
65,0.5647244267
66,0.548080157422
67,0.587196872518
68,0.639728256448
69,0.593569131833
70,0.592135511192
71,0.623230668414
72,0.497117978906
73,0.647005803933
74,0.575333846944
75,0.556144001009
76,0.60964496418
77,0.602453580902
78,0.700876856119
79,0.665599430808
80,0.561070220808
81,0.620098039216
82,0.498364231189
83,0.694741295938
84,0.716981132075
85,0.64451991559
86,0.733263463399
87,0.629949508371
88,0.631297049813
89,0.587724826123
90,0.583242273674
91,0.768250843645
92,0.500532945736
93,0.733227580372
94,0.841667308999
95,0.643303652416
96,0.649176396054
97,0.705204068155
98,0.522149372862
99,0.67251552795
100,0.673238955306
101,0.590487745031
102,0.5
103,0.582444061962
104,0.674258020244
105,0.775529100529
106,0.896539792388
107,0.905917034354
108,0.686128526646
109,0.636677764326
110,0.655002107038
111,0.53570418552
112,0.529008163974
113,0.630683484893
114,0.645081305501
115,0.795196105447
116,0.769610778443
117,0.69972826087
118,0.547386649874
119,0.634583519928
120,0.649781211398
121,0.584164207693
122,0.744838872105
123,0.6907664353
124,0.551639734205
125,0.596267405879
126,0.67969415775
127,0.668504901961
128,0.747581620314
129,0.672584898677
130,0.643871727512
131,0.607166086702
132,0.602054747764
133,0.727485994398
134,0.695098039216
135,0.592592592593
136,0.572386484831
137,0.670836828298
138,0.576451401832
139,0.645808525839
140,0.57968606197
141,0.679396350932
142,0.791672933273
143,0.500679010301
144,0.542364096081
145,0.651918269959
146,0.675473121788
147,0.658068003145
148,0.65124895384
149,0.673126614987
150,0.661351737268
151,0.858735679214
152,0.625756165658
153,0.538432514015
154,0.764922568035
155,0.567403519319
156,0.517493247239
157,0.700557474654
158,0.587059970187
159,0.724867860188
160,0.632160841601
161,0.578519027969
162,0.504136874362
163,0.615278895146
164,0.502524502525
165,0.653835526176
166,0.559701770736
167,0.59064665618
168,0.535466556565
169,0.697587535014
170,0.69058008658
171,0.713989943804
172,0.580730973861
173,0.70389456788
174,0.555435995536
175,0.618512933154
176,0.530260857563
177,0.632762201454
178,0.605714285714
179,0.795060434947
180,0.564898989899
181,0.699557932264
182,0.776580736181
183,0.767390163934
